Property,,Domain,Range,Notes
eli:is_part_of,,Bill,Bills Book,
eli:has_part,,Bills Book,Bill,
eli:is_realized_by,,Bill Resource,Bill Expression,
eli:realizes,,Bill Expression,Bill Resource,
eil:is_embodied_by,,Bill Expression,Bill Format,
eli:embodies,,Bill Format,Bill Expression,
eli:uri_schema,,,,URL for resource describing schema??
eli:id_local,,"Bill Resource, Expression, Format",either Bill URI or {year}-{no},
eli:type_document,,Bill Resource,eil:ResourceType,"Eg, Bill, Act, Explanatory Memorandum or Draft Bill. Consult w A.G."
eli:passed_by,,Bill Resource (final stage),oir:oireachtas,Perhaps oireachtas.ie should be the URI for the body corporate
eli:date_document,,Bill Resource,xsd:Date,Date of President's signature
eli:related_to,,Bill Resource/Expression,owl:Thing,"Use to relate to draft/heads of Bills, explanatory memos"
eli:language,,Bill Expression,"lang:ENG, lang:GLE or lang:MUL",
eli:title,,Bill Expression,xsd:string(lang en or ga),"Short title, used for versions (LegalExpression) of Bill"
eli:published_in,,Bill Format,"eg, http://oireachtas.ie/legislative_observatory","""publication in which legal resource is published"", eg, website"
eli:description,,Bill Resource/Expression,xsd:string(lang en or ga),Bill long title
eli:publisher,,Bill Expression/Format,"xsd:String - ""Houses of the Oireachtas Service""","Or just ""Houses of the Oireachtas"" for historical compliance"
eli:format,,Bill Format,"eg iana:text/xml, iana:text/html, iana:application/pdf",
eli:version,,Bill Expression,"eg, oir:as_initiated",See concept scheme
eli:version_date,,Bill Expression,xsd:Date,"Date presented, passed or ordered to be printed"
eli:rightsholder,,Bill Format,xsd:AnyURI oir:oireachtas,
eli:licence,,Bill Format,"xsd:AnyURI ""http://oireachtas.ie/licence""",
eli:legal_value,,Bill Format,probably eli:LegalValue-authoritive,
dcterms:title,,Bill Resource,xsd:string(lang en or ga),"Short title, for work (LegalResource) of Bill"
,,,,
oir:originalTitle,,Bill Resource,xsd:string(lang en or ga),Short title of LegalResource as initiated
oir:amended,frbr:realizer,oir:chamber,Bill Expression,"Dáil, Seanad or committee responsible for amended version"
oir:amendedBy,frbr:realizerOf,Bill Expression,oir:Chamber,inverse of oir:amends
oir:sponsored,frbr:realizer,oir:role or oir:person,Bill Expression,Bill sponsor (this also covers relevant Minister in case of Seanad Bills)
oir:sponsoredBy,frbr:realizerOf,Bill Expression,oir:role or oir:person,inverse of oir:sponsored
oir:delivered,lkif:actor,oir:role or oir:person,Bill Work,"agent, ie, Minister, Member or private person, who introduced Bill"
oir:deliveredBy,lkif:actor_in,Bill Resource,oir:role or oir:person,inverse of oir:delivered
oir:enactedAs,possibly frbr:transformationOf,Bill Resource,Act Resource,relationship between Act and Bill
oir:enacts,possibly frbr:transformation,Act Resource,Bill Resource,
oir:status,,Bill Resource,oir:BillStatus,The stage that the Bill has reached (see concept scheme)
oir:inChamber,,oir:BillEvent,oir:Chamber,The House/committee in which a Bill event occurs
metalex:agent,,oir:Mover,oir:BillEvent,The act of beginning an event by moving a motion/amendment or proposing a question
oir:commenced,,oir:BillEvent,xsd:Date or xsd:DateTime,The date on which the event commenced
oir:concluded,,oir:BillEvent,xsd:Date or xsd:DateTime,Date on which event concluded
oir:debate,metalex:matterOf,oir:BillEvent,oir:debateRecord/dbsect,"Reference to debate record(s) for event, at debateSection level"
oir:debateAbout,metalex:matter,oir:debateRecord,oir:BillEvent,inverse of oir:debateOn
metalex:matter,,oir:BillEvent,Bill Resource,the subject mater (the Bill) of the event
metalex:matterOf,,Bill Resource,oir:BillEvent,inverse of metalex:matter
metalex:result,,oirBillEvent,metalex:Result,How the motion/question/amendment was decided
oir:eventContent,,oir:BillEvent,oir:debateRecord/dbsect#sum or para,"The eId in the debateRecord where the event is moved/proposed, at paragraph/summary or debateSection level"
oir:eventContentOf,,oir:debateRecord/dbsect#sum or para,oir:BillEvent,inverse of oir:eventSubject
oir:resultContent,,oir:BillEvent,oir:debateRecord/dbsect#sum or para,The eId in the debateRecord where the event is decided at paragraph/summary or debateSection level
oir:resultContentOf,,oir:debateRecord/dbsect#sum or para,oir:BillEvent,inverse of oir:resultContent
oir:amended,,oir:Amendment,Bill Expression ,The version (expression) of the Bill which an amendment(s) modifies
oir:amendedBy,,Bill Expression,oir:Amendment,The version (expression) that is created on foot of an amendment(s)
metalex:predecessor,,"Bill Expression, AmendmentList","Bill Expression, AmendmentList",Is the preceeding version (expression) of a Bill or Amendment list
metalex:successor,,"Bill Expression, AmendmentList","Bill Expression, AmendmentList",inverse of metalex:predecessor
